model_family,pr_auc,roc_auc,f05_82,prec_82,rec_82,f05_85,prec_85,rec_85,f05_90,prec_90,rec_90,tp_90,fp_90,fn_90,f05_95,prec_95,rec_95,mean_f05_90,std_f05_90,fold1_f05_90,fold2_f05_90,fold3_f05_90,fold4_f05_90,fold5_f05_90,optimal_f05,optimal_threshold,optimal_precision,optimal_recall,total_train_time_sec,avg_fold_train_time_sec,peak_memory_mb
lightgbm,0.9616,0.9994,0.932,0.9656,0.8182,0.9302,0.969,0.8019,0.9307,0.9767,0.7832,672,16,186,0.9259,0.9818,0.7541,0.9307,0.009,0.9358,0.9444,0.9304,0.9237,0.919,0.932,0.82,0.9656,0.8182,16.15,3.23,6.54
xgboost,0.9628,0.9995,0.9295,0.9689,0.7995,0.9301,0.9741,0.7879,0.9274,0.9819,0.7587,651,12,207,0.9088,0.9883,0.6876,0.9272,0.0126,0.9409,0.9375,0.9302,0.9216,0.9057,0.9301,0.85,0.9741,0.7879,10.28,2.06,3.57
catboost,0.9637,0.9996,0.9318,0.9768,0.7867,0.9293,0.9793,0.7716,0.9217,0.9829,0.7378,633,11,225,0.8973,0.9861,0.6597,0.9215,0.0114,0.9251,0.9357,0.9226,0.9231,0.9008,0.933,0.76,0.9706,0.8077,19.73,3.95,3.97
